curve,tenor,pay_freq,daycount,par_coupon_%
A,1M,Monthly,Act/Act AFB,4.070582880369297
A,1M,Monthly,30/360 Bond,4.014821471049169
A,1M,Monthly,30E/360,4.014821471049169
A,1M,Monthly,Act/Act ICMA,4.014821471049169
A,3M,Monthly,Act/360,4.157387751875883
A,3M,Monthly,Act/365F,4.215129248429715
A,3M,Monthly,Act/Act ISDA,4.215129248429714
A,3M,Monthly,Act/Act AFB,4.215129248429715
A,3M,Monthly,30/360 Bond,4.249769709948672
A,3M,Monthly,30E/360,4.249769709948672
A,3M,Monthly,Act/Act ICMA,4.249769709948672
A,3M,Quarterly,Act/360,4.172442766473231
A,3M,Quarterly,Act/365F,4.230393360452024
A,3M,Quarterly,Act/Act ISDA,4.230393360452023
A,3M,Quarterly,Act/Act AFB,4.230393360452024
A,3M,Quarterly,30/360 Bond,4.265163716839301
A,3M,Quarterly,30E/360,4.265163716839301
A,3M,Quarterly,Act/Act ICMA,4.265163716839301
A,6M,Monthly,Act/360,4.262475684604948
A,6M,Monthly,Act/365F,4.3216767357800165
A,6M,Monthly,Act/Act ISDA,4.321676735780016
A,6M,Monthly,Act/Act AFB,4.3216767357800165
A,6M,Monthly,30/360 Bond,4.333643440886332
A,6M,Monthly,30E/360,4.333643440886332
A,6M,Monthly,Act/Act ICMA,4.333643440886332
A,6M,Quarterly,Act/360,4.278128894366218
A,6M,Quarterly,Act/365F,4.337547351232415
A,6M,Quarterly,Act/Act ISDA,4.3375473512324145
A,6M,Quarterly,Act/Act AFB,4.337547351232415
A,6M,Quarterly,30/360 Bond,4.349562073563334
A,6M,Quarterly,30E/360,4.349562073563334
A,6M,Quarterly,Act/Act ICMA,4.349562073563334
A,6M,Semiann,Act/360,4.301974813591399
A,6M,Semiann,Act/365F,4.361724463780168
A,6M,Semiann,Act/Act ISDA,4.361724463780168
A,6M,Semiann,Act/Act AFB,4.361724463780168
A,6M,Semiann,30/360 Bond,4.373674393817923
A,6M,Semiann,30E/360,4.373674393817923
A,6M,Semiann,Act/Act ICMA,4.373674393817923
A,12M,Monthly,Act/360,4.267391376360317
A,12M,Monthly,Act/365F,4.326660701031989
A,12M,Monthly,Act/Act ISDA,4.3266607010319875
A,12M,Monthly,Act/Act AFB,4.326660701031989
A,12M,Monthly,30/360 Bond,4.32685791016514
A,12M,Monthly,30E/360,4.32685791016514
A,12M,Monthly,Act/Act ICMA,4.326545022359158
A,12M,Quarterly,Act/360,4.282878226052408
A,12M,Quarterly,Act/365F,4.3423626458586915
A,12M,Quarterly,Act/Act ISDA,4.3423626458586915
A,12M,Quarterly,Act/Act AFB,4.3423626458586915
A,12M,Quarterly,30/360 Bond,4.342430683737078
A,12M,Quarterly,30E/360,4.342430683737078
A,12M,Quarterly,Act/Act ICMA,4.342430683737078
A,12M,Semiann,Act/360,4.3063250355587614
A,12M,Semiann,Act/365F,4.366135105497078
A,12M,Semiann,Act/Act ISDA,4.366135105497078
A,12M,Semiann,Act/Act AFB,4.366135105497078
A,12M,Semiann,30/360 Bond,4.366264047295815
A,12M,Semiann,30E/360,4.366264047295815
A,12M,Semiann,Act/Act ICMA,4.366264047295815
A,12M,Annual,Act/360,4.353378460225802
A,12M,Annual,Act/365F,4.4138420499511595
A,12M,Annual,Act/Act ISDA,4.4138420499511595
A,12M,Annual,Act/Act AFB,4.4138420499511595
A,12M,Annual,30/360 Bond,4.4138420499511595
A,12M,Annual,30E/360,4.4138420499511595
A,12M,Annual,Act/Act ICMA,4.4138420499511595
A,24M,Monthly,Act/360,4.392417573309749
A,24M,Monthly,Act/365F,4.453423372939051
A,24M,Monthly,Act/Act ISDA,4.456336781581625
A,24M,Monthly,Act/Act AFB,4.453906992397189
A,24M,Monthly,30/360 Bond,4.45953592039748
A,24M,Monthly,30E/360,4.45953592039748
A,24M,Monthly,Act/Act ICMA,4.459275966406184
A,24M,Quarterly,Act/360,4.408813270363192
A,24M,Quarterly,Act/365F,4.470046788007124
A,24M,Quarterly,Act/Act ISDA,4.472970858175055
A,24M,Quarterly,Act/Act AFB,4.471525067371518
